ITEM,DAILY RATE ($),,,
Wheelbarrow,$15,,,
Whipper Snipper,$40,,,
LOADERS,,,,
12In Bit,$18,,,
24In Bit,$40,,,
9In Bit,$0,,,
Backhoe 20Hp,$275,,,
Backhoe 25 Hp,$285,,,
Mini-Excavator 1 Ton,$240,,,
Mini-Excavator 2 Ton,$285,,,
Mini-Excavator 3 Ton,$330,,,
Mini-Excavator 4 Ton,$350,,,
Mt100,$290,,,
Mt52,$250,,,
Mt52 Aug Attach,$150,,,
Mt52 Jham Attach,$200,,,
Skid Steer S450,$275,,,
Skid Steer S550,$385,,,
Skid Steer S570,$275,,,
Skid Steer S70,$250,,,
Skid Steer T450,$375,,,
MATERIAL HANDLING,,,,
Appliance Dolly,$22,,,
Box Dolly,$12,,,
Genie Lift,$80,,,
Jack Hyd,20/30,,,
Pallet Truck,$40,,,
Screw Jack,$12,,,
Shoring Jack,$10,,,
PAINT EQUIP,,,,
Bakers Scaffold,$24,,,
Biljax 35Ft,$350,,,
Biljax 45Ft,$400,,,
Ladder 24Ft,$24,,,
Ladder 32Ft,$27,,,
Ladder 40Ft,$42,,,
Line Marker,$28,,,
Manlift Small Electric,$140,,,
Scissor Lift 19Ft Slab,$150,,,
Scissor Lift 25Ft Slab,$180,,,
Shingle Ladder,$95,,,
Stairway Ladder,$36,,,
Step Ladder 10Ft,$16,,,
Step Ladder 12Ft,$18,,,
Text Gun Only,$20,,,
Texture Gun W/Compressor,$70,,,
Wallpaper Steamer,$33,,,
PLUMBING,,,,
Dies Fror Above,$10,,,
Pex Crimpers,$16,,,
Pipe Cutter,$15,,,
Pipe Die Adjustable,$22,,,
Pipe Reamer,$16,,,
Pipe Thawer Air Assist,$90,,,
Pipe Thawer Electric,$74,,,
Pipe Threader Ratchet,$14,,,
Pipe Vice Stand,$21,,,
Pipe Wrench 36In,$20,,,
Sewer Rod 100Ft,$38,,,
Snake Electric 1/2 X 100 Ft,$92,,,
Snake Electric 5/16 X 25Ft,$44,,,
Snake Electric 5/8 X 100 Ft,$100,,,
Snake Insp Camera,$190,,,
Snake Manual 1/2 X 50,$44,,,
Snake Manualm 5/16X 25,$20,,,
